order_number	order_date	sales_associate	customer	products/quantities	total_sale
CHA-CHING-0000160	2006-07-29	Sandra E. Ramsey	Francis K. Pollard	GRMZM0000024:26,GRMZM0000008:23,GRMZM0000014:81,GRMZM0000020:67,GRMZM0000068:84,GRMZM0000091:60	235.67
CHA-CHING-0000161	2006-08-03	Ingrid A. Reynolds	Eleanor A. Duncan	GRMZM0000040:49,GRMZM0000008:19,GRMZM0000007:66	128.57
CHA-CHING-0000162	2006-08-03	Eliana V. Ashley	Scarlett Z. Marks	GRMZM0000071:77,GRMZM0000019:5,GRMZM0000015:61,GRMZM0000035:52	130.09
CHA-CHING-0000163	2006-08-04	Hedley G. Trujillo	Kennedy I. Hatfield	GRMZM0000057:96,GRMZM0000081:88	56.56
CHA-CHING-0000164	2006-08-05	Eliana V. Ashley	Ima C. Mullins	GRMZM0000059:69,GRMZM0000037:2,GRMZM0000060:35,GRMZM0000069:40,GRMZM0000091:13	180.9
CHA-CHING-0000165	2006-08-13	Ingrid A. Reynolds	Alika L. Alexander	GRMZM0000044:84,GRMZM0000030:59,GRMZM0000069:10,GRMZM0000070:83	230.74
CHA-CHING-0000166	2006-08-15	Hayley W. Harrell	Yasir T. Fischer	GRMZM0000097:90,GRMZM0000038:31,GRMZM0000081:71	168.87
CHA-CHING-0000167	2006-08-25	Sandra E. Ramsey	Davis C. Mathis	GRMZM0000048:28,GRMZM0000100:29,GRMZM0000084:93,GRMZM0000038:46,GRMZM0000013:84	158.14
CHA-CHING-0000168	2006-08-30	Sandra E. Ramsey	Ava Y. Morrow	GRMZM0000084:85,GRMZM0000020:98,GRMZM0000053:9,GRMZM0000055:36	109.58
CHA-CHING-0000169	2006-09-05	Macaulay U. Shaw	Flynn H. Hammond	GRMZM0000045:38,GRMZM0000046:55,GRMZM0000030:61,GRMZM0000021:22,GRMZM0000036:34	170.18
CHA-CHING-0000170	2006-09-09	Sandra E. Ramsey	Paki W. Hamilton	GRMZM0000057:42,GRMZM0000061:36,GRMZM0000007:41,GRMZM0000091:23,GRMZM0000066:58	116.86
CHA-CHING-0000171	2006-10-08	Sandra E. Ramsey	Fulton A. Arnold	GRMZM0000013:86,GRMZM0000008:78,GRMZM0000075:17,GRMZM0000090:80,GRMZM0000040:60,GRMZM0000085:10	140.93
CHA-CHING-0000172	2006-10-13	Ingrid A. Reynolds	James Y. Mullen	GRMZM0000072:95,GRMZM0000066:71,GRMZM0000085:93,GRMZM0000057:59,GRMZM0000012:29	177.33
CHA-CHING-0000173	2006-10-13	Hayley W. Harrell	Imelda G. Chambers	GRMZM0000030:4,GRMZM0000004:33,GRMZM0000065:22	29.8
CHA-CHING-0000174	2006-11-05	Ingrid A. Reynolds	Burton E. Campbell	GRMZM0000064:47,GRMZM0000088:66,GRMZM0000058:40	105.71
CHA-CHING-0000175	2006-11-05	Jocelyn Z. Parsons	Nathan L. Avila	GRMZM0000010:5,GRMZM0000047:24,GRMZM0000098:67,GRMZM0000039:28,GRMZM0000010:82	72.95
CHA-CHING-0000176	2006-11-17	Brennan J. Morris	Zelda A. Ochoa	GRMZM0000081:34,GRMZM0000076:83	61.41
CHA-CHING-0000177	2006-11-30	Haviva N. Glenn	Zephr R. Herrera	GRMZM0000018:71,GRMZM0000039:8,GRMZM0000082:21,GRMZM0000041:42	167.73
CHA-CHING-0000178	2006-12-16	Hedley G. Trujillo	Carolyn A. Burt	GRMZM0000003:90,GRMZM0000037:29,GRMZM0000029:13,GRMZM0000091:81,GRMZM0000005:60	276.38
CHA-CHING-0000179	2007-01-29	Haviva N. Glenn	Imelda G. Chambers	GRMZM0000064:9,GRMZM0000046:83,GRMZM0000017:28,GRMZM0000039:96,GRMZM0000098:75,GRMZM0000039:98	302.13
CHA-CHING-0000180	2007-02-01	Jocelyn Z. Parsons	Colorado P. Daniel	GRMZM0000064:31,GRMZM0000053:36,GRMZM0000080:37,GRMZM0000077:100,GRMZM0000002:81	243.43
CHA-CHING-0000181	2007-02-02	Haviva N. Glenn	Tamekah X. Steele	GRMZM0000084:16,GRMZM0000005:58,GRMZM0000015:89	167.54
CHA-CHING-0000182	2007-02-05	Eliana V. Ashley	Alika L. Alexander	GRMZM0000094:76,GRMZM0000035:8,GRMZM0000027:19,GRMZM0000092:22,GRMZM0000040:78	182.03
CHA-CHING-0000183	2007-02-16	Nolan E. Ward	Latifah P. Jarvis	GRMZM0000010:38,GRMZM0000035:53,GRMZM0000009:34,GRMZM0000068:43	104.57
CHA-CHING-0000184	2007-02-27	Sandra E. Ramsey	Alea U. Webb	GRMZM0000014:51,GRMZM0000013:68	28.56
CHA-CHING-0000185	2007-03-09	Hayley W. Harrell	Cameron J. Shaffer	GRMZM0000069:44,GRMZM0000090:55,GRMZM0000033:99,GRMZM0000044:11,GRMZM0000044:93,GRMZM0000036:77	243.95
CHA-CHING-0000186	2007-03-13	Brennan J. Morris	Janna K. Mejia	GRMZM0000001:14,GRMZM0000094:95	139.9
CHA-CHING-0000187	2007-03-14	Brennan J. Morris	Diana Y. Freeman	GRMZM0000029:52,GRMZM0000095:38	65.16
CHA-CHING-0000188	2007-03-23	Haviva N. Glenn	Kirsten B. Camacho	GRMZM0000052:87,GRMZM0000037:41,GRMZM0000091:66,GRMZM0000076:45,GRMZM0000015:42,GRMZM0000039:20	273.6
CHA-CHING-0000189	2007-03-24	Jocelyn Z. Parsons	Cameron S. Kaufman	GRMZM0000021:39,GRMZM0000036:55,GRMZM0000040:88,GRMZM0000099:55	184.46
CHA-CHING-0000190	2007-03-30	Ingrid A. Reynolds	Ava Y. Morrow	GRMZM0000053:36,GRMZM0000091:25,GRMZM0000094:45,GRMZM0000093:81	175.12
CHA-CHING-0000191	2007-04-03	Nolan E. Ward	James Y. Mullen	GRMZM0000082:56,GRMZM0000092:17,GRMZM0000060:77,GRMZM0000090:61,GRMZM0000058:71,GRMZM0000055:54	223.59
CHA-CHING-0000192	2007-04-17	Ingrid A. Reynolds	Zenaida X. Avila	GRMZM0000096:8,GRMZM0000070:21,GRMZM0000052:9,GRMZM0000090:58	47.25
CHA-CHING-0000193	2007-04-26	Hayley W. Harrell	Davis C. Mathis	GRMZM0000074:64,GRMZM0000050:50,GRMZM0000021:31,GRMZM0000018:77,GRMZM0000050:36	134.5
CHA-CHING-0000194	2007-04-27	Nolan E. Ward	Kadeem D. Herrera	GRMZM0000060:42,GRMZM0000071:90,GRMZM0000089:54	137.94
CHA-CHING-0000195	2007-05-14	Brennan J. Morris	Iris W. Workman	GRMZM0000056:21,GRMZM0000037:59,GRMZM0000076:7,GRMZM0000049:44,GRMZM0000022:6	44.35
CHA-CHING-0000196	2007-06-07	Brennan J. Morris	Scarlett Z. Marks	GRMZM0000019:31,GRMZM0000055:100,GRMZM0000048:9,GRMZM0000069:17,GRMZM0000090:26,GRMZM0000039:12	64.06
CHA-CHING-0000197	2007-06-08	Hayley W. Harrell	Paki W. Hamilton	GRMZM0000044:96,GRMZM0000057:77,GRMZM0000096:71,GRMZM0000011:49,GRMZM0000087:49	207.23
CHA-CHING-0000198	2007-06-14	Macaulay U. Shaw	Kay P. Ashley	GRMZM0000079:40,GRMZM0000100:16,GRMZM0000096:37,GRMZM0000081:94,GRMZM0000055:34	172.05
CHA-CHING-0000199	2007-06-18	Hedley G. Trujillo	Lacy K. Pruitt	GRMZM0000023:35,GRMZM0000080:19,GRMZM0000045:6,GRMZM0000082:19,GRMZM0000059:97,GRMZM0000023:8	214.51
CHA-CHING-0000200	2007-06-27	Jocelyn Z. Parsons	Dai J. Fields	GRMZM0000063:20,GRMZM0000067:88	90.96
CHA-CHING-0000201	2007-07-13	Jocelyn Z. Parsons	Eleanor A. Duncan	GRMZM0000004:93,GRMZM0000047:41	61.04
CHA-CHING-0000202	2007-08-01	Eliana V. Ashley	James Y. Mullen	GRMZM0000036:74,GRMZM0000024:23,GRMZM0000088:32	92.45
CHA-CHING-0000203	2007-08-12	Haviva N. Glenn	Yasir T. Fischer	GRMZM0000089:73,GRMZM0000028:85,GRMZM0000032:71,GRMZM0000054:96	299.32
CHA-CHING-0000204	2007-08-21	Ingrid A. Reynolds	Kadeem D. Herrera	GRMZM0000024:73,GRMZM0000014:69,GRMZM0000049:93	126.51
CHA-CHING-0000205	2007-08-21	Brennan J. Morris	Latifah P. Jarvis	GRMZM0000006:76,GRMZM0000097:22,GRMZM0000066:1	52.49
CHA-CHING-0000206	2007-09-09	Sandra E. Ramsey	Cameron J. Shaffer	GRMZM0000009:1,GRMZM0000017:63	30.5
CHA-CHING-0000207	2007-09-30	Macaulay U. Shaw	Hall S. Guerra	GRMZM0000088:49,GRMZM0000079:41,GRMZM0000001:39,GRMZM0000035:61	141.37
CHA-CHING-0000208	2007-10-12	Nolan E. Ward	Luke J. Mitchell	GRMZM0000057:6,GRMZM0000095:66,GRMZM0000058:59,GRMZM0000084:17,GRMZM0000064:12	132.12
CHA-CHING-0000209	2007-10-15	Sandra E. Ramsey	Lacy K. Pruitt	GRMZM0000023:30,GRMZM0000043:84,GRMZM0000044:70,GRMZM0000078:2	135.96
CHA-CHING-0000210	2007-10-15	Nolan E. Ward	Yvette R. Norton	GRMZM0000056:22,GRMZM0000071:17,GRMZM0000096:59,GRMZM0000038:13,GRMZM0000076:57,GRMZM0000024:10	141.32
CHA-CHING-0000211	2007-10-31	Nolan E. Ward	Sydnee L. Hooper	GRMZM0000080:29,GRMZM0000092:81,GRMZM0000023:81,GRMZM0000096:77	206.43
CHA-CHING-0000212	2007-11-20	Hayley W. Harrell	Liberty C. Mclaughlin	GRMZM0000057:54,GRMZM0000083:75,GRMZM0000012:51	109.26
CHA-CHING-0000213	2007-11-25	Nolan E. Ward	Kirsten B. Camacho	GRMZM0000098:71,GRMZM0000072:46,GRMZM0000033:30,GRMZM0000089:58,GRMZM0000013:30,GRMZM0000020:52	160.22
CHA-CHING-0000214	2007-12-07	Macaulay U. Shaw	Colorado P. Daniel	GRMZM0000045:55,GRMZM0000043:85,GRMZM0000024:2,GRMZM0000088:12,GRMZM0000065:12	119.34
CHA-CHING-0000215	2007-12-08	Hayley W. Harrell	Cameron J. Shaffer	GRMZM0000010:33,GRMZM0000033:32	25.21
CHA-CHING-0000216	2007-12-15	Nolan E. Ward	Kennedy I. Hatfield	GRMZM0000084:73,GRMZM0000081:54	58.49
CHA-CHING-0000217	2007-12-15	Brennan J. Morris	Luke J. Mitchell	GRMZM0000094:29,GRMZM0000073:96	52.3
CHA-CHING-0000218	2007-12-18	Hedley G. Trujillo	Tatum T. Lambert	GRMZM0000078:6,GRMZM0000096:29,GRMZM0000049:58	60.67
CHA-CHING-0000219	2008-01-11	Sandra E. Ramsey	Zenaida X. Avila	GRMZM0000029:26,GRMZM0000018:69,GRMZM0000005:94,GRMZM0000079:3,GRMZM0000087:26,GRMZM0000090:8	198.03
CHA-CHING-0000220	2008-01-14	Ingrid A. Reynolds	Noelani L. Grimes	GRMZM0000034:21,GRMZM0000092:83,GRMZM0000074:69,GRMZM0000057:29	37.19
CHA-CHING-0000221	2008-01-22	Ingrid A. Reynolds	Linda G. Farmer	GRMZM0000082:56,GRMZM0000062:94,GRMZM0000062:87,GRMZM0000049:13	300.98
CHA-CHING-0000222	2008-01-27	Sandra E. Ramsey	Lacy K. Pruitt	GRMZM0000081:32,GRMZM0000014:44,GRMZM0000042:84,GRMZM0000065:22	116.32
CHA-CHING-0000223	2008-02-10	Eliana V. Ashley	Hall S. Guerra	GRMZM0000097:34,GRMZM0000012:35,GRMZM0000048:37,GRMZM0000048:33,GRMZM0000054:64,GRMZM0000090:52	104
CHA-CHING-0000224	2008-02-17	Nolan E. Ward	Davis C. Mathis	GRMZM0000097:46,GRMZM0000005:39	83.26
CHA-CHING-0000225	2008-03-31	Haviva N. Glenn	Tamekah X. Steele	GRMZM0000060:22,GRMZM0000069:9,GRMZM0000004:23,GRMZM0000095:99,GRMZM0000026:92	218.25
CHA-CHING-0000226	2008-04-02	Eliana V. Ashley	Zenaida X. Avila	GRMZM0000010:1,GRMZM0000039:12,GRMZM0000037:62,GRMZM0000028:48	65.21
CHA-CHING-0000227	2008-04-08	Brennan J. Morris	Noelani L. Grimes	GRMZM0000006:27,GRMZM0000007:11,GRMZM0000001:70	87.28
CHA-CHING-0000228	2008-04-21	Ingrid A. Reynolds	Zenaida X. Avila	GRMZM0000084:14,GRMZM0000072:96	45.22
CHA-CHING-0000229	2008-05-30	Nolan E. Ward	Tatum T. Lambert	GRMZM0000045:92,GRMZM0000075:59,GRMZM0000074:5,GRMZM0000013:37,GRMZM0000061:46,GRMZM0000009:70	239.95
CHA-CHING-0000230	2008-05-31	Haviva N. Glenn	Sharon U. Peck	GRMZM0000072:68,GRMZM0000089:64,GRMZM0000058:48,GRMZM0000054:42,GRMZM0000044:87	234.18
CHA-CHING-0000231	2008-06-11	Sandra E. Ramsey	Kay P. Ashley	GRMZM0000019:15,GRMZM0000008:80,GRMZM0000067:95	94.25
CHA-CHING-0000232	2008-06-16	Hedley G. Trujillo	Rahim N. Daugherty	GRMZM0000064:47,GRMZM0000096:4,GRMZM0000066:95,GRMZM0000094:81,GRMZM0000018:69	246.45
CHA-CHING-0000233	2008-06-24	Brennan J. Morris	Alika L. Alexander	GRMZM0000095:88,GRMZM0000041:33,GRMZM0000066:15,GRMZM0000008:2,GRMZM0000075:97	195.32
CHA-CHING-0000234	2008-06-26	Sandra E. Ramsey	James Y. Mullen	GRMZM0000027:54,GRMZM0000015:80	124.06
CHA-CHING-0000235	2008-07-11	Sandra E. Ramsey	Zelda A. Ochoa	GRMZM0000061:31,GRMZM0000001:65	79.27
CHA-CHING-0000236	2008-07-26	Nolan E. Ward	Yasir T. Fischer	GRMZM0000058:6,GRMZM0000051:57	45.15
CHA-CHING-0000237	2008-07-27	Hayley W. Harrell	Cameron S. Kaufman	GRMZM0000052:7,GRMZM0000051:99	75.38
CHA-CHING-0000238	2008-07-27	Brennan J. Morris	Tatum T. Lambert	GRMZM0000069:30,GRMZM0000051:87,GRMZM0000049:14,GRMZM0000067:92	165.77
CHA-CHING-0000239	2008-07-28	Ingrid A. Reynolds	Diana Y. Freeman	GRMZM0000024:14,GRMZM0000048:53,GRMZM0000006:11,GRMZM0000062:69,GRMZM0000027:11,GRMZM0000076:99	188.87
CHA-CHING-0000240	2008-08-31	Ingrid A. Reynolds	Kadeem D. Herrera	GRMZM0000056:31,GRMZM0000024:96,GRMZM0000005:72	202.56
CHA-CHING-0000241	2008-09-12	Eliana V. Ashley	Carolyn A. Burt	GRMZM0000065:86,GRMZM0000019:8,GRMZM0000084:73,GRMZM0000093:2	60.53
CHA-CHING-0000242	2008-09-13	Ingrid A. Reynolds	Tamekah X. Steele	GRMZM0000063:71,GRMZM0000002:43,GRMZM0000089:85,GRMZM0000029:2,GRMZM0000048:25,GRMZM0000075:15	288.69
CHA-CHING-0000243	2008-09-19	Hayley W. Harrell	Ima C. Mullins	GRMZM0000056:66,GRMZM0000026:62	123.5
CHA-CHING-0000244	2008-09-25	Macaulay U. Shaw	Colorado P. Daniel	GRMZM0000068:41,GRMZM0000039:11	47.27
CHA-CHING-0000245	2008-09-27	Nolan E. Ward	Kay P. Ashley	GRMZM0000063:67,GRMZM0000078:48,GRMZM0000061:4	151.3
CHA-CHING-0000246	2008-09-28	Ingrid A. Reynolds	Yvette R. Norton	GRMZM0000085:45,GRMZM0000024:44,GRMZM0000055:25,GRMZM0000098:48,GRMZM0000042:39,GRMZM0000071:92	180.21
CHA-CHING-0000247	2008-10-07	Brennan J. Morris	Linda G. Farmer	GRMZM0000014:50,GRMZM0000043:12,GRMZM0000021:100,GRMZM0000093:47,GRMZM0000011:3,GRMZM0000034:52	144.28
CHA-CHING-0000248	2008-10-09	Jocelyn Z. Parsons	Tatum T. Lambert	GRMZM0000076:70,GRMZM0000009:61,GRMZM0000030:60,GRMZM0000052:38	210.97
CHA-CHING-0000249	2008-10-21	Brennan J. Morris	Liberty C. Mclaughlin	GRMZM0000054:22,GRMZM0000099:51,GRMZM0000073:29,GRMZM0000065:76,GRMZM0000036:10,GRMZM0000055:9	88.4
CHA-CHING-0000250	2008-10-24	Macaulay U. Shaw	Eleanor A. Duncan	GRMZM0000053:26,GRMZM0000025:18,GRMZM0000080:48,GRMZM0000080:23,GRMZM0000030:52	176.79
CHA-CHING-0000251	2008-10-31	Jocelyn Z. Parsons	Luke J. Mitchell	GRMZM0000034:74,GRMZM0000066:13,GRMZM0000039:61,GRMZM0000091:5	112.11
CHA-CHING-0000252	2008-11-01	Ingrid A. Reynolds	Yasir T. Fischer	GRMZM0000023:34,GRMZM0000064:7,GRMZM0000027:59,GRMZM0000093:68	128.64
CHA-CHING-0000253	2008-11-07	Nolan E. Ward	Luke J. Mitchell	GRMZM0000009:42,GRMZM0000056:77,GRMZM0000066:91,GRMZM0000077:22,GRMZM0000094:77	242.77
CHA-CHING-0000254	2008-11-08	Nolan E. Ward	Gareth W. Albert	GRMZM0000032:77,GRMZM0000095:22	117.15
CHA-CHING-0000255	2008-11-11	Eliana V. Ashley	Imelda G. Chambers	GRMZM0000020:60,GRMZM0000005:88,GRMZM0000080:63,GRMZM0000032:82	305.79
CHA-CHING-0000256	2008-11-17	Nolan E. Ward	Flynn H. Hammond	GRMZM0000026:70,GRMZM0000088:93,GRMZM0000061:9,GRMZM0000005:55	159.87
CHA-CHING-0000257	2008-11-19	Ingrid A. Reynolds	Burton E. Campbell	GRMZM0000053:44,GRMZM0000029:65	55.05
CHA-CHING-0000258	2008-11-23	Nolan E. Ward	Isadora B. Reese	GRMZM0000077:8,GRMZM0000075:9,GRMZM0000094:89,GRMZM0000055:81,GRMZM0000001:71,GRMZM0000052:57	264.89
CHA-CHING-0000259	2008-11-24	Nolan E. Ward	Tatum T. Lambert	GRMZM0000082:96,GRMZM0000034:85,GRMZM0000027:91	169.52
CHA-CHING-0000260	2008-11-28	Hedley G. Trujillo	Nathan L. Avila	GRMZM0000039:86,GRMZM0000020:20,GRMZM0000015:17,GRMZM0000004:30,GRMZM0000035:56,GRMZM0000069:98	312.86
CHA-CHING-0000261	2008-11-28	Brennan J. Morris	Leah T. Franks	GRMZM0000047:3,GRMZM0000098:15,GRMZM0000027:23,GRMZM0000030:10,GRMZM0000058:24	50.35
CHA-CHING-0000262	2008-11-30	Eliana V. Ashley	Sydnee L. Hooper	GRMZM0000032:83,GRMZM0000045:93,GRMZM0000085:43,GRMZM0000098:60,GRMZM0000087:81,GRMZM0000091:80	407.93
CHA-CHING-0000263	2008-12-22	Brennan J. Morris	Flynn H. Hammond	GRMZM0000011:61,GRMZM0000098:57,GRMZM0000100:15	57.94
CHA-CHING-0000264	2009-01-02	Ingrid A. Reynolds	Gareth W. Albert	GRMZM0000050:53,GRMZM0000046:86	13.37
CHA-CHING-0000265	2009-01-09	Brennan J. Morris	Sydnee L. Hooper	GRMZM0000056:30,GRMZM0000038:68,GRMZM0000033:29,GRMZM0000031:10,GRMZM0000096:7,GRMZM0000086:42	159.5
CHA-CHING-0000266	2009-01-15	Brennan J. Morris	Alea U. Webb	GRMZM0000044:31,GRMZM0000073:90,GRMZM0000039:5,GRMZM0000015:71,GRMZM0000012:48,GRMZM0000023:60	195.81
CHA-CHING-0000267	2009-02-03	Sandra E. Ramsey	Fulton A. Arnold	GRMZM0000054:88,GRMZM0000021:5,GRMZM0000047:22,GRMZM0000008:59,GRMZM0000076:65	91.73
CHA-CHING-0000268	2009-02-03	Hedley G. Trujillo	Zenaida X. Avila	GRMZM0000032:100,GRMZM0000072:57,GRMZM0000052:3,GRMZM0000034:23,GRMZM0000010:48,GRMZM0000001:59	224.82
CHA-CHING-0000269	2009-02-20	Macaulay U. Shaw	Yvette R. Norton	GRMZM0000006:79,GRMZM0000005:45,GRMZM0000013:47,GRMZM0000064:62	142.9
CHA-CHING-0000270	2009-02-22	Hayley W. Harrell	Sydnee L. Hooper	GRMZM0000093:49,GRMZM0000061:24,GRMZM0000077:4,GRMZM0000093:20,GRMZM0000095:12	88.67
CHA-CHING-0000271	2009-03-06	Haviva N. Glenn	James Y. Mullen	GRMZM0000010:38,GRMZM0000053:10	13
CHA-CHING-0000272	2009-03-14	Sandra E. Ramsey	Paki W. Hamilton	GRMZM0000037:80,GRMZM0000035:53	32.87
CHA-CHING-0000273	2009-03-21	Macaulay U. Shaw	Ima C. Mullins	GRMZM0000027:86,GRMZM0000048:15,GRMZM0000026:100,GRMZM0000030:46,GRMZM0000071:81	236.66
CHA-CHING-0000274	2009-03-30	Hayley W. Harrell	Dai J. Fields	GRMZM0000070:33,GRMZM0000081:73	74.89
CHA-CHING-0000275	2009-04-10	Ingrid A. Reynolds	Cameron J. Shaffer	GRMZM0000030:54,GRMZM0000062:39,GRMZM0000084:24,GRMZM0000011:30,GRMZM0000050:18,GRMZM0000035:63	191.79
CHA-CHING-0000276	2009-04-12	Jocelyn Z. Parsons	Gareth W. Albert	GRMZM0000047:3,GRMZM0000058:96	94.32
CHA-CHING-0000277	2009-04-22	Eliana V. Ashley	Linda G. Farmer	GRMZM0000075:97,GRMZM0000002:82,GRMZM0000027:37,GRMZM0000083:76	297.9
CHA-CHING-0000278	2009-04-28	Jocelyn Z. Parsons	Zelda A. Ochoa	GRMZM0000036:62,GRMZM0000052:30,GRMZM0000088:21,GRMZM0000036:32	107.84
CHA-CHING-0000279	2009-04-30	Nolan E. Ward	Rahim N. Daugherty	GRMZM0000033:97,GRMZM0000015:60,GRMZM0000008:42	137.63
CHA-CHING-0000280	2009-05-01	Hayley W. Harrell	Liberty C. Mclaughlin	GRMZM0000006:18,GRMZM0000029:16,GRMZM0000069:63,GRMZM0000091:99,GRMZM0000019:57	217.69
CHA-CHING-0000281	2009-05-24	Hayley W. Harrell	Colorado P. Daniel	GRMZM0000005:32,GRMZM0000021:65,GRMZM0000029:55,GRMZM0000065:57,GRMZM0000015:84	235.88
CHA-CHING-0000282	2009-06-01	Haviva N. Glenn	James Y. Mullen	GRMZM0000082:76,GRMZM0000071:18	87.84
CHA-CHING-0000283	2009-06-06	Nolan E. Ward	Liberty C. Mclaughlin	GRMZM0000083:63,GRMZM0000095:89,GRMZM0000035:22	175.72
CHA-CHING-0000284	2009-06-14	Haviva N. Glenn	Lacy K. Pruitt	GRMZM0000053:41,GRMZM0000048:29,GRMZM0000054:89,GRMZM0000044:7,GRMZM0000061:84	118.96
CHA-CHING-0000285	2009-06-24	Ingrid A. Reynolds	Zephr R. Herrera	GRMZM0000004:17,GRMZM0000032:53,GRMZM0000073:90	88.07
CHA-CHING-0000286	2009-06-29	Eliana V. Ashley	Cameron J. Shaffer	GRMZM0000082:46,GRMZM0000023:28,GRMZM0000033:22,GRMZM0000038:27,GRMZM0000094:63,GRMZM0000091:43	257.27
CHA-CHING-0000287	2009-06-29	Macaulay U. Shaw	Cameron J. Shaffer	GRMZM0000005:21,GRMZM0000061:95,GRMZM0000091:64,GRMZM0000021:100	239.25
CHA-CHING-0000288	2009-07-05	Brennan J. Morris	Hall S. Guerra	GRMZM0000026:18,GRMZM0000052:69	87.15
CHA-CHING-0000289	2009-07-10	Hayley W. Harrell	Uta A. Bray	GRMZM0000014:18,GRMZM0000099:63	50.67
CHA-CHING-0000290	2009-07-24	Haviva N. Glenn	Zenaida X. Avila	GRMZM0000099:27,GRMZM0000057:10,GRMZM0000042:41	61.68
CHA-CHING-0000291	2009-07-26	Nolan E. Ward	Tamekah X. Steele	GRMZM0000050:29,GRMZM0000026:85,GRMZM0000061:84,GRMZM0000055:97,GRMZM0000054:50	174.33
CHA-CHING-0000292	2009-07-26	Nolan E. Ward	Janna K. Mejia	GRMZM0000095:5,GRMZM0000062:49,GRMZM0000076:32	83.78
CHA-CHING-0000293	2009-07-27	Eliana V. Ashley	Tamekah X. Steele	GRMZM0000099:58,GRMZM0000023:58,GRMZM0000053:41	117.59
CHA-CHING-0000294	2009-07-29	Macaulay U. Shaw	Kay P. Ashley	GRMZM0000070:88,GRMZM0000100:41	131.39
CHA-CHING-0000295	2009-08-12	Hayley W. Harrell	Ima C. Mullins	GRMZM0000069:100,GRMZM0000037:63	114.26
CHA-CHING-0000296	2009-08-14	Macaulay U. Shaw	Noelani L. Grimes	GRMZM0000053:60,GRMZM0000091:92,GRMZM0000003:56	206.16
CHA-CHING-0000297	2009-08-18	Nolan E. Ward	Cameron S. Kaufman	GRMZM0000037:35,GRMZM0000050:95	9.25
CHA-CHING-0000298	2009-08-19	Haviva N. Glenn	Sydnee L. Hooper	GRMZM0000050:76,GRMZM0000066:23,GRMZM0000069:9,GRMZM0000031:89,GRMZM0000047:30	72.54
CHA-CHING-0000299	2009-09-04	Sandra E. Ramsey	Sharon U. Peck	GRMZM0000064:40,GRMZM0000085:66,GRMZM0000082:50	173.42
CHA-CHING-0000300	2009-09-16	Sandra E. Ramsey	Zelda A. Ochoa	GRMZM0000042:81,GRMZM0000049:14,GRMZM0000085:14,GRMZM0000088:55,GRMZM0000046:58	130.27
CHA-CHING-0000301	2009-09-28	Sandra E. Ramsey	Gareth W. Albert	GRMZM0000007:77,GRMZM0000051:70,GRMZM0000097:43,GRMZM0000080:98,GRMZM0000048:11	314.66
CHA-CHING-0000302	2009-09-30	Nolan E. Ward	Nathan L. Avila	GRMZM0000019:20,GRMZM0000070:61,GRMZM0000056:15	71.92
CHA-CHING-0000303	2009-10-10	Sandra E. Ramsey	Latifah P. Jarvis	GRMZM0000070:62,GRMZM0000023:68,GRMZM0000027:13,GRMZM0000008:56	149.45
CHA-CHING-0000304	2009-10-12	Macaulay U. Shaw	Cameron J. Shaffer	GRMZM0000073:9,GRMZM0000092:97,GRMZM0000011:87,GRMZM0000100:57,GRMZM0000061:84	190.42
CHA-CHING-0000305	2009-10-17	Ingrid A. Reynolds	Eleanor A. Duncan	GRMZM0000100:46,GRMZM0000066:80,GRMZM0000063:100,GRMZM0000062:81,GRMZM0000043:62	354.14
CHA-CHING-0000306	2009-10-27	Ingrid A. Reynolds	Noelani L. Grimes	GRMZM0000077:41,GRMZM0000043:12,GRMZM0000020:63,GRMZM0000055:76,GRMZM0000065:34	99.26
CHA-CHING-0000307	2009-10-27	Hedley G. Trujillo	Sydnee L. Hooper	GRMZM0000087:19,GRMZM0000028:78,GRMZM0000066:27,GRMZM0000030:68,GRMZM0000049:77,GRMZM0000063:44	280.45
CHA-CHING-0000308	2009-10-31	Hayley W. Harrell	Sydnee L. Hooper	GRMZM0000063:46,GRMZM0000048:27,GRMZM0000065:34,GRMZM0000095:82	161.52
CHA-CHING-0000309	2009-11-04	Nolan E. Ward	Paki W. Hamilton	GRMZM0000074:19,GRMZM0000059:15,GRMZM0000100:56,GRMZM0000018:5	99.25
CHA-CHING-0000310	2009-11-09	Sandra E. Ramsey	Kennedy I. Hatfield	GRMZM0000028:59,GRMZM0000080:95,GRMZM0000044:62,GRMZM0000071:56,GRMZM0000089:94,GRMZM0000015:23	386.55
CHA-CHING-0000311	2009-11-09	Brennan J. Morris	Liberty C. Mclaughlin	GRMZM0000059:47,GRMZM0000070:46,GRMZM0000062:58,GRMZM0000083:9,GRMZM0000097:67	257.54
CHA-CHING-0000312	2009-11-14	Sandra E. Ramsey	Tatum T. Lambert	GRMZM0000012:42,GRMZM0000049:28,GRMZM0000007:70,GRMZM0000015:64,GRMZM0000007:44,GRMZM0000005:8	245.02
CHA-CHING-0000313	2009-11-23	Nolan E. Ward	Luke J. Mitchell	GRMZM0000096:68,GRMZM0000086:38,GRMZM0000058:42,GRMZM0000054:34,GRMZM0000029:91,GRMZM0000085:31	246.74
CHA-CHING-0000314	2009-12-01	Nolan E. Ward	Davis C. Mathis	GRMZM0000055:71,GRMZM0000009:24	33.43
CHA-CHING-0000315	2009-12-01	Eliana V. Ashley	Scarlett Z. Marks	GRMZM0000022:72,GRMZM0000036:94	93.32
